사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,복지시설종류,복지시설종류명,정제지번주소,정제도로명주소,정제우편번호
한아름노인요양센터,20100501,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 원대동3가 1351-7번지 (3층),,
삼성노인요양원,20100501,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 비산동 152-41번지,,
대구실버요양센터,20140501,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 내당동,,
그린노인요양원,20150115,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 비산동,,
사랑마을노인요양원1,20150401,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 평리동,,
사랑마을노인요양원,20150401,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 평리동,,
사랑마을 실버타운,20150101,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 옥포면,,
대한실버타운1,20130405,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 다사읍 1호,,
대한실버타운2,20130405,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 다사읍 2호,,
나오미행복한집,20130408,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 하빈면,,
효자실버타운A,20130409,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 화원읍 천내리,,
효자실버타운B,20130409,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 화원읍 천내리,,
비슬요양원,20131231,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 화원읍 성산리,,
나오미노인센터,20111108,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 하빈면 동곡리,,
예사랑실버타운,20111124,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 옥포면 반송리,,
솔비 효 요양원,20120206,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 옥포면 송촌리,,
다사효실버타운,20150720,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 다사읍,,
