사업장명,정제도로명주소
성서청구타운경로당,대구광역시 달서구 성지로 75
새동네경로당,대구광역시 달서구 성지로16길 45
고모경로당,대구광역시 수성구 고모로39길 20
지산서한이다음아파트경로당,대구광역시 수성구 용학로 313
청구하이츠경로당,대구광역시 수성구 파동로 105
두산경로당,대구광역시 수성구 들안로8길 68-5
느지경로당,대구광역시 수성구 화랑로40길 46
수동경로당,대구광역시 수성구 지범로31안길 3-14
새마을경로당,대구광역시 수성구 무학로31길 23
지산목련아파트경로당,대구광역시 수성구 용학로42길 13
동서맨션경로당,대구광역시 수성구 지산로14길 83
동서무학맨션경로당,대구광역시 수성구 지산로14길 83
보성맨션경로당,대구광역시 수성구 지범로21길 3
지산2동경로당,대구광역시 수성구 용학로33길 17-16
욱수경로당,대구광역시 수성구 욱수천로 15
수성못코오롱하늘채 경로당,대구광역시 수성구 파동로 222 
범어1동제2경로당,대구광역시 수성구 청솔로16길 13-3
한마음경로당,대구광역시 수성구 들안로52길 35-1
롬바드아파트경로당,대구광역시 수성구 들안로 325
수성4가경로당,대구광역시 수성구 범어천로 151
미수경로당,대구광역시 수성구 들안로81길 29
신천경로당,대구광역시 수성구 신천동로88길 1-15
북3리 경로당,대구광역시 달성군 논공읍 용호로 6
이시아폴리스더샵2차경로당,대구광역시 동구 팔공로 274
대구혁신LH천년나무3단지경로당,대구광역시 동구 과학로13길 30
태왕메트로시티경로당,대구광역시 동구 동북로 500
율하휴먼시아9단지경로당,대구광역시 동구 안심로22길 76
동명경로당,대구광역시 동구 동촌로58길 20
신천청아람경로당,대구광역시 동구 송라로14길 132
입석2경로당,대구광역시 동구 입석로3길 14-1
각산태영데시앙경로당,대구광역시 동구 반야월북로 123
각산푸르지오1단지경로당,대구광역시 동구 경안로 824
신암청아람경로당,대구광역시 동구 신암로20길 39
율하휴먼시아10단지경로당,대구광역시 동구 율하동로8길 16 
율하휴먼시아11단지경로당,대구광역시 동구 율하동로 19
방촌제2경로당,대구광역시 동구 둔산로45길 12-1
태정경로당,대구광역시 동구 팔공산로 1166
봉무경로당,대구광역시 동구 팔공로 333-12
SM안아주아파트경로당,대구광역시 동구 안심로16길 29
율하휴먼시아15단지경로당,대구광역시 동구 금호강변로3길 9
지저경로당,대구광역시 동구 해동로2길 34
