상가업소번호,상호명,상권업종분류명,도로명주소,lat,lng
22311682,조은어린이집,유아교육,대구광역시 달서구 당산로45길 95,35.85542110000001,128.5422256
22313179,캐슬어린이집,유아교육,대구광역시 달서구 장산남로 33,35.8508543,128.5265823
22313869,로뎀어린이집,유아교육,대구광역시 달서구 와룡로45길 36-15,35.8539398,128.5350845
22315347,전석어린이집,유아교육,대구광역시 달서구 신당로 56,35.8527016,128.4979101
22323398,종이나라어린이집,유아교육,대구광역시 달서구 와룡로57길 48-5,35.8583517,128.5344919
22325463,썸머힐어린이집,유아교육,대구광역시 동구 반야월북로27길 7-1,35.8736944,128.7121199
22326088,황소나무어린이집,유아교육,대구광역시 서구 서대구로6길 31,35.861348,128.5609252
22326206,새한별어린이집,유아교육,대구광역시 동구 경안로105길 53,35.8698401,128.7114011
22329574,은송어린이집,유아교육,대구광역시 달서구 송현동1길 65-1,35.8281318,128.5477653
22331615,가람어린이집,유아교육,대구광역시 달서구 한실로 135,35.8074717,128.5409723
22333492,하늘성어린이집,유아교육,대구광역시 북구 동천로 97,35.9409253,128.5592946
22341137,통곡모유육아상담실,유아교육,대구광역시 수성구 수성로 192,35.8425082,128.6126842
22341671,키즈드림어린이집,유아교육,대구광역시 달서구 조암남로14길 13,35.8213465,128.5251811
22345322,소망어린이집,유아교육,대구광역시 달성군 현풍면 현풍중앙로14길 21,35.6951755,128.4463471
22345704,키즈월드어린이집,유아교육,대구광역시 달서구 달서대로 41,35.8129173,128.5107446
22346631,소망어린이집,유아교육,대구광역시 북구 관음중앙로22길 8-21,35.9428333,128.5455997
22347265,효성새마을유아원,유아교육,대구광역시 북구 고촌길 157-3,35.9126561,128.5915619
22351831,강북어린이집,유아교육,대구광역시 북구 동호안길 38,35.9640457,128.5567647
22363251,수성대학교부설리오바어린이집,유아교육,대구광역시 수성구 달구벌대로528길 15,35.8540385,128.6481314
22363275,용산어린이집,유아교육,대구광역시 달서구 용산서로 9,35.8569029,128.5296991
22365286,칼비테조기교육원,유아교육,대구광역시 북구 학정로 440,35.9437584,128.5642558
