사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,객실수,건물용도명,건축연면적,기념품종류명,놀이기구수내역,놀이시설수,무대면적,문화사업자구분명,문화체육업종명,발전시설유무,방송시설유무,보험기관명,보험시작일자,보험종료일자,부대시설내역,시설규모,시설면적,안내소유무,영문상호명,의무실유무,자본금,제작취급품목내용,좌석수,주변환경명,지역구분명,정제지번주소,정제도로명주소,정제우편번호
북문놀이터,20160831,폐업 등,20171229,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 산격동 1327-7번지,"대구광역시 북구 대학로17길 8, 1층 (산격동)",
뽑켓몬,20161121,폐업 등,20180323,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 수성구 지산동 1288-30번지,"대구광역시 수성구 지범로 183 (지산동, 시티월드)",
뽀꼬뽀고,20161129,폐업 등,20180321,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 수성구 신매동 568-8번지,대구광역시 수성구 신매로19길 23-5 (신매동),
토이게임장,20161117,폐업 등,20171222,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 중구 공평동 63,대구광역시 중구 동성로3길 62 (공평동),
인형짱,20161028,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 중구 삼덕동1가 22-3,"대구광역시 중구 동성로5길 77, 1층 (삼덕동1가)",
롤리팝키즈카페,20170209,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 침산동 285-10번지,"대구광역시 북구 침산로 142, 6층 (침산동)",
키존빌리지(세븐밸리점),20170323,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 동천동 894-1번지,"대구광역시 북구 동암로 90, 3층 (동천동, 세븐밸리)",
에덴카니발,20070613,폐업 등,20110104,,,,,,유기장,,,총 11대,,,유원시설업,신고유원시설업,N,N,,,,,73,72.9,N,,N,,,,,중심상업지역,대구광역시 중구 종로1가 29-4번지,대구광역시 중구 국채보상로 547  (종로1가),700191
죽곡 차타타,20180709,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 달성군 다사읍 죽곡리 811-6번지 3층,"대구광역시 달성군 다사읍 대실역남로 18, 3층",
키즈점핑클럽,20150709,운영중,,,,,,,근린생활시설,,,,,,,신고유원시설업,,,,,,,213,213.06,,,,,,,,일반주거지역,대구광역시 남구 대명동,"대구광역시 남구 현충로 143, 2층 (대명동)",705808
야사노 대구동성로점,20160714,운영중,,,,,,,근린생활시설,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,중심상업지역,대구광역시 중구 남일동 65-1,"대구광역시 중구 중앙대로 412, 지하1층 (남일동, 아카데미극장)",
키즈봉봉,20161028,폐업 등,20180620,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,일반상업지역,대구광역시 동구 율하동 1438번지,"대구광역시 동구 안심로22길 46, 3층 303호 (율하동)",
비트,20161028,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 산격동 1399-3번지,대구광역시 북구 대학로15길 6 (산격동),
노리터,20161024,폐업 등,20171129,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 중구 동성로2가 144-3,대구광역시 중구 동성로 20-1 (동성로2가),
큐비쥬노리카페,20180725,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 달성군 옥포면 교항리 2933번지,"대구광역시 달성군 옥포면 돌미상업로 10, 3층",
